data,item,PRN 1,PRN 2,PRN 3,PRN 4,PRN 5,PRN 6,PRN 7,PRN 8,PRN 9,PRN 10,PRN 11,PRN 12,PRN 13,PRN 14,PRN 15,PRN 16,PRN 17,PRN 18,PRN 19,PRN 20,PRN 21,PRN 22,PRN 23,PRN 24,PRN 25,PRN 26,PRN 27,PRN 28,PRN 29,PRN 30,PRN 31,PRN 32
opensky,doppler freq,3500.0,-1000.0,-1000.0,3500.0,500.0,-4500.0,-500.0,0.0,-4500.0,2500.0,4000.0,-5000.0,-4500.0,-2500.0,-3500.0,0.0,-500.0,4000.0,0.0,-3000.0,-5000.0,-1500.0,-4000.0,500.0,-2500.0,-2000.0,3000.0,-4000.0,-5000.0,500.0,-1000.0,-3500.0
opensky,code phase,19503.0,28104.0,25015.0,24032.0,4410.0,16685.0,19720.0,11846.0,27182.0,23350.0,12503.0,15227.0,625.0,20256.0,1584.0,3414.0,21414.0,23757.0,15219.0,19214.0,7998.0,17175.0,1852.0,19753.0,6358.0,14594.0,14146.0,12799.0,28434.0,6850.0,3891.0,9304.0
