data,item,PRN 1,PRN 2,PRN 3,PRN 4,PRN 5,PRN 6,PRN 7,PRN 8,PRN 9,PRN 10,PRN 11,PRN 12,PRN 13,PRN 14,PRN 15,PRN 16,PRN 17,PRN 18,PRN 19,PRN 20,PRN 21,PRN 22,PRN 23,PRN 24,PRN 25,PRN 26,PRN 27,PRN 28,PRN 29,PRN 30,PRN 31,PRN 32
urban,doppler freq,-1000.0,-4500.0,-4500.0,-500.0,-2000.0,-3000.0,-500.0,500.0,1500.0,1500.0,-500.0,-2500.0,1500.0,-1500.0,-2500.0,-3000.0,-1500.0,-2000.0,-2000.0,3500.0,-3000.0,-3000.0,-3500.0,4500.0,1500.0,2000.0,2000.0,1000.0,-2000.0,-2500.0,-3000.0,-500.0
urban,code phase,8429.0,6452.0,664.0,4429.0,5988.0,5421.0,3360.0,1247.0,3937.0,133.0,8250.0,2843.0,8347.0,8307.0,2091.0,12576.0,7138.0,10247.0,9045.0,1150.0,7537.0,8396.0,7291.0,10214.0,6185.0,11651.0,1036.0,5788.0,9589.0,3074.0,45.0,7.0
