Parameter,1,4,7,11,18
PRN,1,4,7,11,18
M_0,5.17930887728971223e-01,-3.77974486463086679e-01,-8.07435368238342555e-02,-1.98905418191912486e-01,2.59840988631582392e-01
delta_n,4.19088885305684868e-09,5.03699552536737128e-09,4.89163232754956494e-09,5.89095966783020813e-09,4.72019661513544484e-09
ecc,8.92308494076132601e-03,4.44497331045567935e-04,1.28239667974412424e-02,1.66431387187913025e-02,1.54198176460340602e-02
sqrtA,5.15365564346313477e+03,5.15373091697692871e+03,5.15374233818054199e+03,5.15370659637451172e+03,5.15369931793212891e+03
OMEGA_0,-3.10603580061843143e+00,-9.86418751934695970e-01,4.40838835392694042e-02,2.72577037566570413e+00,3.12182125430593915e+00
i_0,9.76127704025528953e-01,9.59523876409462573e-01,9.55765376538570965e-01,9.09806735685277146e-01,9.54642600078996151e-01
omega,7.11497598513719742e-01,-1.46123749945855108e+00,-2.46195417194188559e+00,1.89149296226272479e+00,1.39301587576551755e+00
OMEGAdot,-8.16962601200122231e-09,-8.16319717278569336e-09,-8.27820196319683165e-09,-9.30431613354218209e-09,-8.61071581373338578e-09
idot,-1.81078971237414527e-10,2.08580116770512984e-10,-6.86814322859069283e-10,1.28576784310590201e-11,-1.61792453590826010e-10
Cuc,-6.33485615253448486e-06,6.63101673126220703e-07,3.09199094772338867e-07,-3.60421836376190186e-06,-6.10947608947753906e-06
Cus,5.30108809471130371e-06,6.55092298984527588e-06,8.01496207714080811e-06,1.51246786117553711e-06,5.11482357978820801e-06
Crc,2.87468750000000000e+02,2.50906250000000000e+02,2.19593750000000000e+02,3.24406250000000000e+02,2.80156250000000000e+02
Crs,-1.20718750000000000e+02,1.09687500000000000e+01,6.46875000000000000e+00,-6.71250000000000000e+01,-1.13875000000000000e+02
Cic,-7.45058059692382812e-08,5.77419996261596680e-08,4.28408384323120117e-08,-3.16649675369262695e-07,-2.53319740295410156e-07
Cis,1.60187482833862305e-07,-7.82310962677001953e-08,1.26659870147705078e-07,-1.32247805595397949e-07,3.53902578353881836e-08
toe,453600,453600,453600,453600,453600
toc,453600,453600,453600,453600,453600
af0,-3.48975881934165955e-05,1.65835022926330566e-04,-3.95108945667743683e-05,-5.90092502534389496e-04,5.98649494349956512e-05
af1,-9.43600753089412885e-12,2.16004991671070416e-12,-7.61701812734827238e-12,8.52651282912120061e-12,3.18323145620524802e-12
af2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
WN,8,8,8,8,8
tow,449598,449568,449472,449598,449406
satClkDrift,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dtr,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
IODE_SF2,72,187,33,83,56
IODE_SF3,72,187,33,83,56
code_on_L2,1,1,1,1,1
L2_P_data_flag,0,0,0,0,0
SV_accuracy,0,13,0,0,0
SV_health,0,63,0,0,0
TGD,5.58793544769287109e-09,-8.84756445884704590e-09,-1.11758708953857422e-08,-1.25728547573089600e-08,-5.58793544769287109e-09
IODC,72,955,33,83,56
AODO,24300,24300,24300,24300,24300
fit_interval_flag,0,0,0,0,0
spare1,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
spare2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
integrity_status_flag,0,0,0,0,0
alert_flag,0,0,0,0,0
antispoofing_flag,1,1,1,1,1
